Month,DayOfWeek,AirTime,Distance,TaxiIn,TaxiOut,Delay,jfk_origin
1,2,79.0,541,17.0,14.0,late,0
1,3,72.0,541,4.0,29.0,late,0
1,3,73.0,541,8.0,14.0,late,0
1,3,91.0,541,5.0,44.0,late,1
1,3,99.0,541,12.0,29.0,late,1
1,3,85.0,541,15.0,25.0,late,1
1,4,101.0,541,7.0,27.0,late,0
1,4,81.0,541,10.0,39.0,late,1
1,5,80.0,541,4.0,21.0,late,0
1,5,72.0,541,5.0,40.0,late,1
1,2,88.0,541,7.0,15.0,late,0
1,2,75.0,541,10.0,20.0,late,0
1,2,84.0,541,10.0,26.0,late,1
1,3,74.0,541,10.0,19.0,late,0
1,3,92.0,541,4.0,27.0,late,1
1,4,74.0,541,7.0,24.0,ontime,0
1,5,103.0,541,13.0,59.0,late,1
1,1,80.0,541,10.0,14.0,late,0
1,1,83.0,541,8.0,39.0,late,1
1,2,81.0,541,6.0,28.0,late,1
1,3,65.0,541,20.0,17.0,late,0
1,3,98.0,541,4.0,23.0,late,1
1,4,73.0,541,9.0,33.0,late,0
1,4,80.0,541,10.0,30.0,late,0
1,4,87.0,541,9.0,18.0,late,0
1,4,121.0,541,7.0,42.0,late,1
1,4,113.0,541,10.0,37.0,late,1
1,5,69.0,541,6.0,35.0,late,0
1,5,117.0,541,7.0,39.0,late,1
1,6,66.0,541,5.0,24.0,late,0
1,6,115.0,541,4.0,33.0,late,1
1,1,105.0,541,6.0,29.0,late,1
1,2,82.0,541,12.0,11.0,late,0
1,2,86.0,541,6.0,15.0,late,0
1,2,75.0,541,14.0,13.0,late,0
1,2,89.0,541,4.0,14.0,late,1
1,2,89.0,541,8.0,26.0,late,1
1,3,78.0,541,5.0,27.0,late,0
1,3,100.0,541,10.0,15.0,late,1
1,4,74.0,541,8.0,28.0,ontime,0
1,4,71.0,541,25.0,19.0,late,0
1,4,105.0,541,3.0,27.0,late,1
1,5,81.0,541,4.0,30.0,ontime,0
1,5,79.0,541,9.0,27.0,late,0
1,5,87.0,541,9.0,39.0,late,1
1,7,84.0,541,8.0,18.0,ontime,1
1,1,70.0,541,9.0,21.0,late,1
1,4,80.0,541,22.0,18.0,late,0
1,4,94.0,541,7.0,29.0,late,1
1,3,212.0,1522,12.0,17.0,late,0
1,3,200.0,1522,6.0,64.0,late,1
1,3,84.0,289,25.0,11.0,late,0
1,3,25.0,94,5.0,55.0,late,1
1,3,122.0,589,21.0,65.0,late,0
1,3,105.0,766,5.0,81.0,late,1
1,3,150.0,892,13.0,20.0,late,0
1,3,33.0,144,8.0,28.0,late,1
1,3,59.0,213,11.0,36.0,late,0
1,3,74.0,426,3.0,49.0,late,1
1,3,146.0,766,25.0,14.0,late,0
1,3,87.0,426,12.0,18.0,late,0
1,3,67.0,340,12.0,81.0,late,1
1,3,50.0,213,7.0,75.0,late,1
1,3,61.0,274,16.0,12.0,late,0
1,3,45.0,213,8.0,22.0,late,0
1,3,102.0,589,9.0,12.0,late,0
1,3,106.0,740,8.0,36.0,late,0
1,3,114.0,740,10.0,36.0,late,0
1,3,72.0,264,11.0,17.0,late,0
1,3,102.0,589,11.0,28.0,late,0
1,3,52.0,264,8.0,28.0,late,1
1,3,104.0,740,8.0,48.0,late,0
1,3,111.0,740,11.0,16.0,late,1
1,3,69.0,340,5.0,116.0,late,1
1,3,68.0,187,8.0,12.0,late,0
1,3,40.0,187,10.0,50.0,late,1
1,3,36.0,184,5.0,19.0,ontime,1
1,3,74.0,508,7.0,49.0,late,0
1,3,45.0,187,5.0,60.0,late,1
1,3,48.0,187,10.0,24.0,late,0
1,3,117.0,740,10.0,18.0,late,0
1,3,34.0,187,14.0,90.0,late,1
1,3,90.0,483,23.0,22.0,late,0
1,3,33.0,106,13.0,9.0,late,0
1,3,47.0,267,6.0,71.0,late,1
1,3,26.0,106,5.0,14.0,late,1
1,3,96.0,589,6.0,79.0,late,1
1,3,89.0,589,5.0,49.0,late,1
1,3,62.0,94,10.0,28.0,late,0
1,3,111.0,766,10.0,64.0,late,1
1,3,46.0,267,8.0,16.0,late,1
1,3,85.0,483,5.0,23.0,late,0
1,3,73.0,267,11.0,17.0,late,0
1,3,93.0,508,25.0,17.0,late,0
1,3,60.0,213,7.0,48.0,late,0
1,3,48.0,274,5.0,74.0,late,1
1,3,73.0,425,9.0,63.0,late,1
1,3,34.0,94,6.0,58.0,late,1
1,3,45.0,274,20.0,90.0,late,0
1,3,125.0,740,7.0,35.0,late,1
1,3,71.0,340,14.0,47.0,late,1
1,3,60.0,289,7.0,30.0,late,1
1,4,50.0,213,20.0,20.0,late,0
1,4,41.0,213,2.0,62.0,late,1
1,4,58.0,213,10.0,52.0,late,1
1,4,62.0,264,7.0,41.0,ontime,1
1,4,105.0,760,5.0,24.0,late,1
1,4,87.0,508,14.0,48.0,late,1
1,4,36.0,184,8.0,32.0,late,1
1,4,53.0,264,10.0,30.0,late,1
1,4,56.0,264,9.0,16.0,ontime,0
1,4,116.0,760,10.0,17.0,late,0
1,4,127.0,740,8.0,47.0,late,1
1,4,103.0,589,2.0,24.0,late,1
1,4,87.0,425,16.0,18.0,late,0
1,4,75.0,425,10.0,36.0,ontime,1
1,4,67.0,267,17.0,28.0,late,0
1,4,219.0,1522,30.0,21.0,late,0
1,4,202.0,1522,6.0,32.0,ontime,1
1,4,26.0,94,9.0,45.0,ontime,1
1,4,104.0,766,7.0,28.0,ontime,1
1,4,128.0,892,12.0,20.0,late,0
1,4,48.0,213,24.0,20.0,ontime,0
1,4,94.0,508,10.0,47.0,late,1
1,4,32.0,106,16.0,20.0,late,0
1,4,116.0,589,12.0,13.0,late,0
1,4,106.0,740,20.0,25.0,ontime,0
1,4,52.0,288,9.0,57.0,late,1
1,4,32.0,184,20.0,28.0,late,0
1,4,87.0,589,15.0,48.0,late,0
1,4,63.0,340,10.0,26.0,ontime,1
1,4,107.0,740,37.0,48.0,late,0
1,4,122.0,740,10.0,39.0,late,1
1,4,43.0,184,10.0,66.0,late,0
1,4,27.0,144,10.0,28.0,late,1
1,4,82.0,483,10.0,30.0,ontime,1
1,4,63.0,340,10.0,27.0,ontime,1
1,4,82.0,508,7.0,37.0,late,0
1,4,58.0,187,10.0,70.0,late,1
1,4,51.0,187,38.0,30.0,late,0
1,4,89.0,483,24.0,15.0,ontime,0
1,4,72.0,340,15.0,18.0,ontime,0
1,4,86.0,589,1.0,33.0,late,1
1,4,90.0,589,1.0,29.0,late,1
1,4,44.0,267,5.0,17.0,ontime,0
1,4,88.0,508,19.0,12.0,late,0
1,4,49.0,213,27.0,24.0,late,0
1,4,48.0,213,5.0,47.0,late,1
1,4,83.0,425,5.0,37.0,ontime,1
1,5,42.0,209,4.0,29.0,ontime,1
1,5,79.0,508,7.0,33.0,ontime,1
1,5,55.0,213,25.0,31.0,late,0
1,5,73.0,425,15.0,20.0,late,0
1,5,64.0,267,7.0,26.0,late,0
1,5,65.0,426,4.0,40.0,late,1
1,5,195.0,1522,3.0,11.0,ontime,0
1,5,202.0,1522,10.0,23.0,ontime,1
1,5,33.0,94,5.0,44.0,ontime,1
1,5,104.0,589,10.0,18.0,ontime,0
1,5,126.0,892,5.0,19.0,late,0
1,5,35.0,106,5.0,17.0,ontime,0
1,5,71.0,426,4.0,33.0,ontime,1
1,5,130.0,766,8.0,20.0,ontime,0
1,5,63.0,267,9.0,16.0,ontime,0
1,5,41.0,213,4.0,20.0,ontime,0
1,5,90.0,589,4.0,12.0,ontime,0
1,5,39.0,187,8.0,38.0,late,1
1,5,43.0,187,11.0,25.0,ontime,0
1,5,43.0,187,10.0,33.0,ontime,1
1,5,44.0,187,41.0,23.0,late,0
1,5,94.0,589,4.0,12.0,ontime,1
1,5,56.0,213,6.0,32.0,late,1
1,6,44.0,209,5.0,31.0,ontime,1
1,6,120.0,760,10.0,25.0,late,1
1,6,97.0,760,12.0,26.0,ontime,0
1,6,68.0,425,19.0,18.0,ontime,0
1,6,136.0,892,3.0,32.0,ontime,1
1,6,188.0,1522,14.0,15.0,ontime,0
1,6,30.0,94,4.0,23.0,ontime,1
1,6,119.0,766,5.0,22.0,ontime,1
1,6,118.0,267,12.0,13.0,late,0
1,6,114.0,766,7.0,14.0,late,0
1,6,88.0,589,10.0,25.0,late,0
1,6,126.0,740,10.0,54.0,late,1
1,6,98.0,589,3.0,37.0,ontime,1
1,6,21.0,94,81.0,29.0,late,0
1,6,106.0,664,10.0,28.0,ontime,1
1,6,56.0,213,8.0,46.0,late,1
1,7,50.0,213,5.0,24.0,ontime,1
1,7,87.0,508,13.0,35.0,ontime,1
1,7,37.0,184,15.0,36.0,late,1
1,7,108.0,760,6.0,26.0,late,0
1,7,123.0,740,16.0,52.0,late,1
1,7,222.0,1522,13.0,10.0,late,0
1,7,207.0,1522,10.0,33.0,late,1
1,7,27.0,94,8.0,32.0,ontime,1
1,7,109.0,766,10.0,41.0,ontime,1
1,7,70.0,426,2.0,23.0,ontime,1
1,7,78.0,426,11.0,10.0,late,0
